,Date,Round,Home,Away,Home Score,Away Score,Home Elo Pre,Away Elo Pre,Home Elo Pre + Advantage,Home Elo Post,Away Elo Post,Home Elo Change,Away Elo Change,Result,Year
128,2012-07-14,R16,Richmond,Gold Coast,88,90,1540.78,1258.42,1540.78,1536.4,1262.8,-4.38,4.38,Away Win,2012
129,2012-07-14,R16,Brisbane Lions,St Kilda,92,105,1468.8,1577.91,1518.8,1460.38,1586.33,-8.42,8.42,Away Win,2012
130,2012-07-14,R16,Melbourne,Fremantle,83,117,1324.18,1485.16,1324.18,1312.67,1496.68,-11.52,11.52,Away Win,2012
131,2012-07-14,R16,Port Adelaide,Essendon,77,127,1410.21,1598.94,1410.21,1396.63,1612.52,-13.58,13.58,Away Win,2012
132,2012-07-15,R16,West Coast,Sydney,69,121,1624.62,1628.57,1674.62,1588.58,1664.61,-36.04,36.04,Away Win,2012
133,2012-07-15,R16,Footscray,Hawthorn,44,116,1388.0,1657.73,1438.0,1373.06,1672.67,-14.94,14.94,Away Win,2012
134,2012-07-15,R16,GWS,Adelaide,59,178,1243.57,1630.54,1293.57,1231.78,1642.32,-11.79,11.79,Away Win,2012
135,2012-07-20,R17,Geelong,Essendon,134,67,1531.68,1612.52,1531.68,1576.67,1567.52,44.99,-44.99,Home Win,2012
136,2012-07-21,R17,Collingwood,Hawthorn,91,138,1608.23,1672.67,1658.23,1581.34,1699.57,-26.9,26.9,Away Win,2012
137,2012-07-21,R17,Adelaide,West Coast,124,75,1642.32,1588.58,1642.32,1667.07,1563.84,24.74,-24.74,Home Win,2012
138,2012-07-21,R17,Gold Coast,Brisbane Lions,48,59,1262.8,1460.38,1312.8,1257.77,1465.41,-5.04,5.04,Away Win,2012
139,2012-07-21,R17,Footscray,Carlton,84,102,1373.06,1470.77,1423.06,1361.8,1482.03,-11.26,11.26,Away Win,2012
140,2012-07-21,R17,Melbourne,Port Adelaide,56,84,1312.67,1396.63,1312.67,1298.57,1410.73,-14.1,14.1,Away Win,2012
141,2012-07-22,R17,Sydney,St Kilda,105,76,1664.61,1586.33,1714.61,1676.94,1574.0,12.33,-12.33,Home Win,2012
142,2012-07-22,R17,Richmond,North Melbourne,99,103,1536.4,1551.9,1586.4,1531.16,1557.15,-5.24,5.24,Away Win,2012
143,2012-07-22,R17,Fremantle,GWS,132,37,1496.68,1231.78,1546.68,1508.58,1219.88,11.9,-11.9,Home Win,2012
144,2012-07-27,R18,Essendon,Hawthorn,86,180,1567.52,1699.57,1617.52,1532.13,1734.96,-35.4,35.4,Away Win,2012
145,2012-07-28,R18,Geelong,Adelaide,102,75,1576.67,1667.07,1626.67,1596.62,1647.12,19.95,-19.95,Home Win,2012
146,2012-07-28,R18,North Melbourne,Melbourne,127,73,1557.15,1298.57,1607.15,1565.04,1290.68,7.89,-7.89,Home Win,2012
